Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 256 123 16 0 0 0 0 676 0 0 0 0 0
Linnhe 0 0 150 0 0 0 0 376 0 0 0 0 0
Bagh_a_Tuath 0 0 1414 0 0 0 0 0 153 0 0 0 0
Portree 0 0 0 66213 0 0 0 0 0 107 0 0 0
Applecross 0 0 0 0 0 281 0 0 0 27 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 69 0 0 0
Sunart 0 0 0 0 0 0 1108760 0 0 0 0 0 0
Spelve 0 0 8 0 0 0 0 10191 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 271873 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1124270 0 0
na_Cairidh 0 0 0 45594 0 0 0 0 0 115 0 0 3911
Sligachan 0 0 0 43547 0 0 0 0 0 25 0 0 66656
