Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 6713 583 0 0 0 0 0 387 0 0 0 0 0
Linnhe 0 8 0 0 0 0 0 762 0 0 0 0 0
Bagh_a_Tuath 0 0 51 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 216061 0 0 0 0 0 0 0 0 0
Applecross 0 0 0 1 0 20 0 0 0 1932 152 0 0
Torridon 0 0 46 0 0 0 0 0 0 848 77 0 0
Sunart 0 0 0 0 0 0 1081170 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 27979 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 227316 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 3651 78 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128960 0 0
na_Cairidh 0 0 14 45981 1080 0 0 0 0 467 0 157 3997
Sligachan 0 0 0 148415 0 0 0 0 0 0 0 0 24059
