Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 61 711 0 0 0 0 0 31 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 32 0 0 0 0 0
Bagh_a_Tuath 0 0 342908 0 0 0 0 0 44 0 0 0 0
Portree 0 0 0 2281 0 81 0 0 0 1222 0 0 0
Applecross 0 0 0 0 107 13 0 0 0 3707 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 2323 0 0 0
Sunart 0 0 0 0 0 0 1121040 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 2773 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 470409 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128960 0 0
na_Cairidh 0 0 0 17 69 57 0 0 0 1063 0 43709 5063
Sligachan 0 0 0 578 6 47 0 0 0 533 0 0 25575
