Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 0 379 0 0 0 0 0 729 0 91 0 0 0
Linnhe 0 0 0 0 0 0 0 819 0 562 168 0 0
Bagh_a_Tuath 0 0 86583 0 0 0 0 0 6 21 0 0 0
Portree 0 0 0 694 0 0 0 0 0 221 840 0 0
Applecross 0 0 0 0 123 62 0 0 0 667 336 0 0
Torridon 0 0 0 0 0 0 0 0 0 433 504 0 0
Sunart 0 0 0 0 0 0 785379 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 9174 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 514400 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 168 336 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1117340 0 0
na_Cairidh 0 0 0 3710 0 0 0 0 0 155 336 2116 16441
Sligachan 0 0 0 13627 0 0 0 0 0 55 0 0 76361
