S1	-5.894	54.63
S2	-5.753	54.67
S3	-5.651	54.68
S4	-5.595	54.68
S5	-5.537	54.64
S6	-5.512	54.70
S7	-5.524	54.60
S8	-5.471	54.52
S9	-5.435	54.43
S10	-5.469	54.34
S11	-5.548	54.36
S12	-5.585	54.46
S13	-5.636	54.55
S14	-5.575	54.35
S15	-5.659	54.20
S16	-5.760	54.25
S17	-5.868	54.21
S18	-5.887	54.12
S19	-5.977	54.06
S20	-5.537	54.02
S21	-5.184	54.03
S22	-4.862	54.05
S23	-4.784	54.07
S24	-4.742	54.17
S25	-4.632	54.26
S26	-4.568	54.33
S27	-4.491	54.39
S28	-4.424	54.43
S29	-4.365	54.50
S30	-4.365	54.61
S31	-4.431	54.67
S32	-4.548	54.69
S33	-4.690	54.81
S34	-4.807	54.83
S35	-4.937	54.83
S36	-4.911	54.72
S37	-4.884	54.64
S38	-4.969	54.65
S39	-4.988	54.72
S40	-5.032	54.77
S41	-5.475	54.71
S42	-5.391	54.56
S43	-5.354	54.39
S44	-5.440	54.27
S45	-5.524	54.22
S46	-5.670	54.13
S47	-5.374	54.11
S48	-5.162	54.13
S49	-4.968	54.17
S50	-4.868	54.26
S51	-4.746	54.40
S52	-4.655	54.42
S53	-4.531	54.53
S54	-4.584	54.63
S55	-4.693	54.67
S56	-4.748	54.60
S57	-4.878	54.55
S58	-5.035	54.56
S59	-5.084	54.66
S60	-5.192	54.75
S61	-5.896	54.96
S62	-5.833	54.89
S63	-5.796	54.86
S64	-5.699	54.83
S65	-5.692	54.77
S66	-5.156	54.88
S67	-5.186	54.95
S68	-5.164	55.00
S69	-5.099	55.02
S70	-5.052	54.92
S71	-5.002	54.94
S72	-5.064	55.08
S73	-5.009	55.10
S74	-4.957	55.17
S75	-4.906	55.20
S76	-4.854	55.26
S77	-4.838	55.31
S78	-4.790	55.35
S79	-4.755	55.41
S80	-4.682	55.44
S81	-4.625	55.49
S82	-4.658	55.56
S83	-4.713	55.61
S84	-4.784	55.63
S85	-4.859	55.68
S86	-4.898	55.73
S87	-4.950	55.78
S88	-4.884	55.77
S89	-4.889	55.83
S90	-4.878	55.91
S91	-4.855	55.95
S92	-4.778	55.96
S93	-4.624	55.93
S94	-4.519	55.92
S95	-4.810	56.03
S96	-4.880	56.06
S97	-4.900	56.15
S98	-4.809	56.15
S99	-4.770	56.20
S100	-4.926	55.98
S101	-4.953	55.88
S102	-5.006	55.83
S103	-5.055	55.91
