S299	-6.436	57.54
S300	-6.526	57.55
S301	-6.581	57.58
S302	-6.653	57.61
S303	-6.671	57.48
S304	-6.060	57.56
S305	-5.882	57.44
S306	-5.877	57.51
S307	-5.867	57.54
S308	-5.855	57.62
S309	-5.743	57.60
S310	-5.631	57.54
S311	-5.827	57.69
S312	-5.818	57.76
S313	-5.867	57.86
S314	-5.800	57.86
S315	-5.772	57.91
S316	-5.688	57.88
S317	-5.644	57.96
S318	-5.536	57.92
S319	-5.467	57.93
S320	-5.394	57.90
S321	-5.288	57.92
S322	-5.110	57.86
S323	-5.226	57.96
S324	-5.324	58.00
S325	-5.439	58.06
S326	-5.414	58.11
S327	-5.341	58.09
S328	-5.317	58.11
S329	-5.316	58.15
S330	-5.392	58.22
S331	-5.378	58.26
S332	-5.342	58.24
S333	-5.266	58.24
S334	-5.230	58.27
S335	-5.086	58.26
S336	-5.185	58.37
S337	-5.146	58.41
S338	-5.057	58.46
S339	-8.096	55.77
S340	-8.106	56.30
S341	-8.131	56.83
S342	-8.032	56.88
S343	-7.792	56.83
S344	-7.682	56.79
S345	-7.639	56.75
S346	-7.596	56.76
S347	-7.764	56.38
S348	-7.583	56.06
S349	-7.606	55.77
S350	-7.427	55.80
S351	-7.194	55.79
S352	-6.966	55.78
S353	-6.815	55.76
S354	-6.935	55.93
S355	-7.000	56.17
S356	-7.130	56.37
S357	-6.996	56.51
S358	-7.014	56.48
S359	-6.964	56.42
S360	-7.871	56.12
S361	-7.527	56.12
S362	-7.315	56.53
S363	-7.631	56.86
S364	-7.606	56.94
S365	-7.578	56.99
S366	-7.537	57.04
S367	-7.507	57.09
S368	-7.477	57.14
S369	-7.436	57.20
S370	-7.456	57.20
S371	-7.446	57.24
S372	-7.459	57.31
S373	-7.110	57.39
S374	-7.450	57.45
S375	-7.470	57.51
S376	-7.574	57.56
S377	-7.549	57.64
S378	-7.505	57.68
S379	-7.467	57.71
S380	-7.375	57.70
S381	-7.311	57.71
S382	-7.223	57.72
S383	-7.305	57.78
S384	-7.241	57.83
S385	-7.116	57.76
S386	-7.144	57.81
S387	-7.131	57.87
S388	-7.088	57.85
S389	-7.041	57.86
S390	-7.040	57.92
S391	-7.063	57.96
S392	-7.167	57.98
S393	-7.111	58.09
S394	-7.003	58.04
S395	-7.161	58.15
S396	-7.138	58.15
S397	-7.072	58.22
S398	-7.059	58.27
S399	-6.998	58.27
S400	-6.913	58.27
S401	-6.883	58.30
S402	-6.825	58.26
S403	-6.817	58.32
S404	-6.782	58.34
S405	-6.676	58.40
S406	-6.628	58.35
S407	-6.569	58.37
S408	-6.537	58.42
S409	-6.486	58.44
S410	-6.438	58.48
S411	-6.386	58.50
S412	-6.144	58.20
S413	-6.137	58.41
S414	-6.148	58.32
S415	-6.105	58.20
S416	-6.255	58.13
S417	-6.301	58.04
S418	-6.340	57.95
S419	-6.434	57.90
S420	-6.682	57.93
S421	-6.471	57.89
S422	-6.641	57.87
S423	-6.713	57.81
S424	-6.848	57.79
S425	-6.873	57.73
S426	-6.838	57.56
S427	-6.939	57.72
Eil	-5.219331	56.853654
Linnhe	-5.149621	56.805096
Bagh_a_Tuath	-7.381545	56.992298
Portree	-6.147000	57.420000
Applecross	-5.845000	57.440000
Torridon	-5.743000	57.600000
Sunart	-5.622504	56.678965
Spelve	-5.724279	56.402623
Roag	-6.846196	58.201710
Badcall	-5.154774	58.314984
Laxford	-5.055769	58.394677
na_Cairidh	-5.931472	57.277806
Sligachan	-6.092931	57.326064
