Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 7 5795 0 0 0 0 0 1018 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 1171 0 3 0 0 0
Bagh_a_Tuath 0 0 19923 0 0 0 0 0 19 14 0 0 0
Portree 0 0 0 15909 0 0 0 0 0 1047 0 0 0
Applecross 0 0 0 0 0 15 0 0 0 4435 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 2758 0 0 0
Sunart 0 0 0 0 0 0 3817 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 57479 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 76644 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128820 0 0
na_Cairidh 0 0 0 6602 287 5 0 0 0 5084 0 0 2161
Sligachan 0 0 0 19301 0 0 0 0 0 2005 0 0 2542
