Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 121 2859 0 0 0 0 83 879 0 0 0 0 0
Linnhe 0 0 0 0 0 0 80 776 0 0 0 0 0
Bagh_a_Tuath 0 0 54193 0 0 0 0 0 18 0 0 0 0
Portree 0 0 0 53601 0 0 0 0 0 303 0 0 0
Applecross 0 0 0 14 0 81 0 0 0 1658 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 2180 0 0 0
Sunart 0 0 0 0 0 0 1104210 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 18581 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 34721 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128610 0 0
na_Cairidh 0 0 0 4686 0 19 0 0 0 593 0 0 11116
Sligachan 0 0 0 25714 0 0 0 0 0 0 0 0 58826
