Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 170 375 0 0 0 0 0 30 0 425 0 0 0
Linnhe 0 0 0 0 0 0 168 43 0 739 0 0 0
Bagh_a_Tuath 0 0 176548 0 0 0 0 0 0 35 0 0 0
Portree 0 0 0 6312 0 0 0 0 0 102 0 0 0
Applecross 0 0 0 0 0 0 0 0 0 1005 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 534 0 0 0
Sunart 0 0 0 0 0 0 1088630 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 581 0 35 0 0 0
Roag 0 0 0 0 0 0 0 0 171072 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1043960 0 0
na_Cairidh 0 0 0 8325 0 0 0 0 0 501 0 1279 25284
Sligachan 0 0 0 9223 0 0 0 0 0 25 0 0 402456
