Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 86 754 0 0 0 0 0 954 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 321 0 5 0 0 0
Bagh_a_Tuath 0 0 39638 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 66 0 0 0 0 0 724 0 0 1223
Applecross 0 0 0 0 0 173 0 0 0 1125 0 0 0
Torridon 0 0 0 0 0 9 0 0 0 1066 0 0 0
Sunart 0 0 0 0 0 0 1072170 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 7285 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 300183 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128120 0 0
na_Cairidh 0 0 0 46 0 16 0 0 0 1842 0 3374 4744
Sligachan 0 0 0 136 0 0 0 0 0 317 0 0 27632
