Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 429 18465 0 0 0 0 0 1221 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 1302 0 12 0 0 0
Bagh_a_Tuath 0 0 317780 0 0 0 0 0 800 0 0 0 0
Portree 0 0 0 318 0 0 0 0 0 158 0 0 0
Applecross 0 0 0 0 1639 0 0 0 0 6591 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 3007 0 0 0
Sunart 0 0 0 0 0 0 1088230 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 15088 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 603990 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 16 73346 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128960 0 0
na_Cairidh 0 0 0 9 0 0 0 0 0 551 0 11807 363
Sligachan 0 0 0 151 0 0 0 0 0 47 0 0 11144
