Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 438 3747 0 0 0 0 0 217 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 443 0 0 0 0 0
Bagh_a_Tuath 0 0 95963 0 0 0 0 0 116 0 0 0 0
Portree 0 0 0 19581 0 0 0 0 0 209 0 0 5
Applecross 0 0 0 0 0 19 0 0 0 396 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 108 0 0 0
Sunart 0 0 0 0 0 0 915890 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 19593 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 142748 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1119370 0 0
na_Cairidh 0 0 0 1124 0 4 0 0 0 569 0 83 3817
Sligachan 0 0 0 6433 0 0 0 0 0 379 0 0 29349
