Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 0 6709 0 0 0 0 0 1081 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 749 0 0 0 0 0
Bagh_a_Tuath 0 0 49762 0 0 0 0 0 112 0 0 0 0
Portree 0 0 0 5979 0 0 0 0 0 708 0 0 0
Applecross 0 0 0 0 0 0 0 0 0 544 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 752 0 0 0
Sunart 0 0 0 0 0 0 5981 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 56040 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 132184 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1127630 0 0
na_Cairidh 0 0 0 8664 188 0 0 0 0 1037 0 0 635
Sligachan 0 0 0 9025 0 0 0 0 0 138 0 0 400
