Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 5 620 0 0 0 0 0 592 0 520 0 0 0
Linnhe 0 0 0 0 0 0 0 430 0 1293 0 0 0
Bagh_a_Tuath 0 0 137750 0 0 0 0 0 0 132 0 0 0
Portree 0 0 0 3535 0 0 0 0 0 552 0 0 0
Applecross 0 0 0 0 38 30 0 0 0 613 186 0 0
Torridon 0 0 0 0 0 0 0 0 0 2581 364 0 0
Sunart 0 0 0 0 0 0 1085720 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 8234 0 95 0 0 0
Roag 0 0 0 0 0 0 0 0 289557 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 552 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1082620 0 0
na_Cairidh 0 0 0 5792 0 0 0 0 0 433 99 2446 15988
Sligachan 0 0 0 20015 0 0 0 0 0 159 0 0 141215
