Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 626 2702 14 0 0 0 0 653 0 0 0 0 0
Linnhe 0 347 69 0 0 0 0 970 0 0 0 0 0
Bagh_a_Tuath 0 0 312 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 26450 0 0 0 0 0 371 0 0 0
Applecross 0 0 0 0 37874 264 0 0 0 419 0 0 0
Torridon 0 0 0 0 0 1775 0 0 0 1649 0 0 0
Sunart 0 0 0 0 0 0 15549 0 0 0 0 0 0
Spelve 0 0 5 0 0 0 0 83116 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 173766 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 66519 672 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128960 0 0
na_Cairidh 0 0 0 18389 5 0 0 0 0 889 0 1061 4746
Sligachan 0 0 0 20697 0 0 0 0 0 388 0 0 38146
