Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 332 531 0 0 0 0 0 346 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 589 0 0 0 0 0
Bagh_a_Tuath 0 0 12314 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 68727 0 0 0 0 0 378 0 0 0
Applecross 0 0 0 0 0 7 0 0 0 10912 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 9844 0 0 0
Sunart 0 0 0 0 0 0 996340 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 4531 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 141603 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 336 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128610 0 0
na_Cairidh 0 0 0 13290 50 0 0 0 0 6497 0 0 1527
Sligachan 0 0 0 42338 0 0 0 0 0 963 0 0 2268
