Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 27 158 0 0 0 0 478 39 0 29 0 0 0
Linnhe 0 0 0 0 0 0 1002 45 0 80 0 0 0
Bagh_a_Tuath 0 0 149954 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 8651 0 0 0 0 0 6 0 0 0
Applecross 0 0 0 0 0 6 0 0 0 1029 0 0 0
Torridon 0 0 0 0 0 6 0 0 0 233 0 0 0
Sunart 0 0 0 0 0 0 1042020 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 743 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 191955 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 391 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1068480 0 0
na_Cairidh 0 0 0 4765 0 0 0 0 0 216 0 0 13702
Sligachan 0 0 0 5932 0 0 0 0 0 22 0 0 261604
