Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 78 13506 0 0 0 0 0 888 0 0 0 0 0
Linnhe 0 3 0 0 0 0 0 1113 0 0 0 0 0
Bagh_a_Tuath 0 0 809 0 0 0 0 0 336 0 0 0 0
Portree 0 0 0 10212 0 0 0 0 0 3298 0 0 0
Applecross 0 0 0 0 0 0 0 0 0 1809 0 0 0
Torridon 0 0 0 0 0 27 0 0 0 5470 0 0 0
Sunart 0 0 0 0 0 0 3995 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 54041 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 42975 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 922 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128120 0 0
na_Cairidh 0 0 0 16250 0 0 0 0 0 4961 0 4103 583
Sligachan 0 0 0 5246 0 0 0 0 0 2948 0 0 564
