Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 0 228 55 0 0 0 0 774 0 0 0 0 0
Linnhe 0 0 6 0 0 0 0 1327 0 13 0 0 0
Bagh_a_Tuath 0 0 58086 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 8433 0 0 0 0 0 73 336 0 0
Applecross 0 0 0 0 4062 15 0 0 0 746 504 0 0
Torridon 0 0 0 0 0 0 0 0 0 360 840 0 0
Sunart 0 0 0 0 0 0 27869 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 51914 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 378935 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 133 3024 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1125950 0 0
na_Cairidh 0 0 0 6410 0 0 0 0 0 4079 1176 2811 7970
Sligachan 0 0 0 26278 0 0 0 0 0 1845 0 0 41053
