Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 8693 6000 0 0 0 0 41 852 0 0 0 0 0
Linnhe 0 0 24 0 0 0 131 1446 0 0 0 0 0
Bagh_a_Tuath 0 0 16178 0 0 0 0 0 30 0 0 0 0
Portree 0 0 0 7408 0 0 0 0 0 145 0 0 0
Applecross 0 0 0 0 279 48 0 0 0 796 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 329 0 0 0
Sunart 0 0 0 0 0 0 813811 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 44719 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 136638 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 60 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1119020 0 0
na_Cairidh 0 0 0 9044 0 0 0 0 0 323 0 0 3182
Sligachan 0 0 0 8099 0 0 0 0 0 95 0 0 123880
