Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 11178 5494 0 0 0 0 0 418 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 231 0 0 0 0 0
Bagh_a_Tuath 0 0 5634 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 2378 0 0 0 0 0 211 0 0 0
Applecross 0 0 0 0 0 124 0 0 0 5048 0 0 0
Torridon 0 0 0 0 0 21 0 0 0 4943 0 0 0
Sunart 0 0 0 0 0 0 1067810 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 73260 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 79337 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 327 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1126580 0 0
na_Cairidh 0 0 0 23549 0 52 0 0 0 1637 0 0 1617
Sligachan 0 0 0 101253 0 0 0 0 0 249 0 0 41464
