Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 1158 211 0 0 0 0 0 152 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 325 0 0 0 0 0
Bagh_a_Tuath 0 0 10335 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 345973 0 0 0 0 0 0 0 0 0
Applecross 0 0 0 0 0 32 0 0 0 606 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 326 0 0 0
Sunart 0 0 0 0 0 0 529028 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 68487 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 173921 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 1928 168 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128960 0 0
na_Cairidh 0 0 0 109473 0 0 0 0 0 90 0 0 1001
Sligachan 0 0 0 163860 0 0 0 0 0 6 0 0 449
