Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 8129 11851 0 0 0 0 0 180 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 645 0 0 0 0 0
Bagh_a_Tuath 0 0 1258 0 0 0 0 0 5 0 0 0 0
Portree 0 0 0 87725 0 0 0 0 0 46 0 0 0
Applecross 0 0 0 0 11084 7088 0 0 0 202 52 0 0
Torridon 0 0 0 0 0 0 0 0 0 190 111 0 0
Sunart 0 0 0 0 0 0 1102550 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 36015 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 266680 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 425 4446 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128960 0 0
na_Cairidh 0 0 0 73948 1109 35 0 0 0 81 111 0 811
Sligachan 0 0 0 215890 0 0 0 0 0 42 0 0 6496
