Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 45 116 0 0 0 0 0 159 0 0 0 0 0
Linnhe 0 0 0 0 0 0 0 247 0 0 0 0 0
Bagh_a_Tuath 0 0 4617 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 14867 0 0 0 0 0 802 0 0 437
Applecross 0 0 0 0 0 180 0 0 0 1118 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 443 0 0 0
Sunart 0 0 0 0 0 0 961820 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 24055 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 94418 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 0 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1127630 0 0
na_Cairidh 0 0 0 1121 0 22 0 0 0 1374 0 0 2609
Sligachan 0 0 0 5045 0 0 0 0 0 454 0 0 13435
