Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 2563 13964 0 0 0 0 0 525 0 0 0 0 0
Linnhe 0 0 2 4 0 0 0 459 0 0 0 0 0
Bagh_a_Tuath 0 0 3001 0 0 0 0 0 455 0 0 0 0
Portree 0 0 0 198430 0 0 0 0 0 1299 0 0 0
Applecross 0 0 0 0 0 12 0 0 0 761 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 483 0 0 0
Sunart 0 0 0 0 0 0 1111340 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 54419 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 144639 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 25 336 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1122100 0 0
na_Cairidh 0 0 0 23035 0 0 0 0 0 1798 0 0 1709
Sligachan 0 0 0 102318 0 0 0 0 0 935 0 0 42107
