Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 28842 13742 0 0 0 0 168 490 0 0 0 0 0
Linnhe 0 0 0 0 0 0 568 1054 0 0 0 0 0
Bagh_a_Tuath 0 0 4456 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 0 0 0 0 0 0 249 0 0 0
Applecross 0 0 0 0 0 116 0 0 0 1046 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 522 0 0 0
Sunart 0 0 0 0 0 0 977860 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 83367 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 69700 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 47 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128470 0 0
na_Cairidh 0 0 0 42991 67 0 0 0 0 334 0 0 4006
Sligachan 0 0 0 45866 0 0 0 0 0 0 0 0 107797
