Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 986 796 234 0 0 0 0 441 0 2 0 0 0
Linnhe 0 0 138 0 0 0 0 265 0 116 0 0 0
Bagh_a_Tuath 0 0 24717 0 0 0 0 0 0 156 0 0 0
Portree 0 0 0 1826 0 0 0 0 0 619 0 0 0
Applecross 0 0 0 0 81678 543 0 0 0 803 0 0 0
Torridon 0 0 0 0 0 0 0 0 0 2333 840 0 0
Sunart 0 0 0 0 0 0 118 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 22336 0 4 0 0 0
Roag 0 0 0 0 0 0 0 0 234995 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 1563 3696 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1125950 0 0
na_Cairidh 0 0 0 2744 0 0 0 0 0 500 0 0 1406
Sligachan 0 0 0 18881 0 0 0 0 0 128 0 0 46642
