Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 82 11 7 0 0 0 0 785 0 0 0 0 0
Linnhe 0 9 68 0 0 0 0 803 0 0 0 0 0
Bagh_a_Tuath 0 0 2607 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 55209 0 0 0 0 0 4 0 0 0
Applecross 0 0 0 0 0 17 0 0 0 32 0 0 0
Torridon 0 0 1 0 0 0 0 0 0 3 0 0 0
Sunart 0 0 0 0 0 0 1090140 0 0 0 0 0 0
Spelve 0 0 0 0 0 0 0 8481 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 231928 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 436 0 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128960 0 0
na_Cairidh 0 0 1 47388 0 0 0 0 0 90 0 0 2784
Sligachan 0 0 0 45056 0 0 0 0 0 9 0 0 46231
