Eil Linnhe Bagh_a_Tuath Portree Applecross Torridon Sunart Spelve Roag Badcall Laxford na_Cairidh Sligachan
Eil 50292 2223 0 0 0 0 0 517 0 0 0 0 0
Linnhe 0 0 34 0 0 0 0 1811 0 0 0 0 0
Bagh_a_Tuath 0 0 39 0 0 0 0 0 0 0 0 0 0
Portree 0 0 0 228215 0 0 0 0 0 0 0 0 0
Applecross 0 0 0 22 17878 2236 0 0 0 14 336 0 0
Torridon 0 0 0 0 0 0 0 0 0 34 0 0 0
Sunart 0 0 0 0 0 0 1102540 0 0 0 0 0 0
Spelve 0 0 8 0 0 0 0 100519 0 0 0 0 0
Roag 0 0 0 0 0 0 0 0 355748 0 0 0 0
Badcall 0 0 0 0 0 0 0 0 0 109 1351 0 0
Laxford 0 0 0 0 0 0 0 0 0 0 1128960 0 0
na_Cairidh 0 0 0 20994 4330 60 0 0 0 0 0 874 515
Sligachan 0 0 0 190498 0 0 0 0 0 0 0 0 93880
